week_number,subject_abbreviation,year,type,weight,label,description,date,end_date,year_1,year_2,year_3,year_4,year_5,year_6
,,,school-wide,,Eerste schooldag,"Welkom terug! Roosters worden uitgedeeld en klassen maken kennis met hun mentor.",2026-08-17,,1,1,1,1,1,1
,,,school-wide,,Schoolfoto,"Klas- en portretfoto's worden gemaakt tijdens de schooldag.",2026-08-27,,1,1,1,1,1,1
35,NL,2,plan,,Introductie leesvaardigheid,"Leesstrategieën: skimmen, scannen en globaal lezen.",,,,,,,,
35,WI,3,plan,,Herhaling algebra,"Terugblik op vergelijkingen, ongelijkheden en stelsels uit leerjaar 2.",,,,,,,,
35,EN,5,so,formatief,SO grammar review,"Formative check: grammar van het vorige leerjaar (passive, conditionals).",,,,,,,,
,,,school-wide,,Informatieavond leerjaar 1,"Ouderavond voor ouders van brugklassers. Aanvang 19:00 in de aula.",2026-09-02,,1,,,,,
36,EN,1,plan,,Vocabulary unit 1,"Introductie van thema Food & Drink: 30 nieuwe woorden en uitdrukkingen.",,,,,,,,
36,GS,4,plan,,Start Eerste Wereldoorlog,"Oorzaken en het stelsel van allianties vóór 1914: Triple Entente en Triple Alliance.",,,,,,,,
36,FR,2,plan,,Impératif en vocabulaire,"Vorming van de gebiedende wijs en woordenschat thema: l'école.",,,,,,,,
,,,school-wide,,Studiedag,"Geen lessen. Docenten volgen nascholing en voeren leerlingbesprekingen.",2026-09-11,,1,1,1,1,1,1
37,NL,2,so,1,SO leesvaardigheid H1,"Schriftelijke overhoring: skimmen, scannen en 10 begripsvragen.",,,,,,,,
37,WI,3,so,1,SO algebra,"Vergelijkingen, ongelijkheden en stelsels van vergelijkingen.",,,,,,,,
38,EN,1,so,1,SO vocabulary unit 1,"Woordenschattoets: definities, vertalingen en zinnen aanvullen.",,,,,,,,
38,BI,4,plan,,Genetica en celdeling,"Start thema: DNA-structuur, nucleotiden en mitose.",,,,,,,,
38,NL,3,plan,,Argumentatief schrijven,"Opbouw van een betoog: stelling, argumenten en weerlegging.",,,,,,,,
39,WI,2,proefwerk,2,Proefwerk statistiek,"Gemiddelde, mediaan, modus en spreidingsmaten.",,,,,,,,
39,GS,4,so,1,SO Eerste Wereldoorlog,"Schietincident Sarajevo, mobilisatie en het Schlieffenplan.",,,,,,,,
39,EN,3,plan,,Reading comprehension,"Strategieën voor Engelstalige teksten: inference, main idea en detail.",,,,,,,,
39,FR,2,so,1,SO impératif,"Vorming en gebruik van de gebiedende wijs in positieve en negatieve zinnen.",,,,,,,,
40,NL,2,proefwerk,2,Proefwerk leesvaardigheid,"Toets over H1 en H2: meerkeuzevragen en open vragen over zakelijke teksten.",,,,,,,,
40,SK,5,so,1,SO zuren en basen,"pH-berekeningen, Ka-waarden en neutralisatiereacties.",,,,,,,,
40,BI,4,so,1,SO genetica – celdeling,"Vragen over DNA-replicatie, mitose en celcyclus.",,,,,,,,
40,EN,6,schoolexamen,,Schoolexamen spreekvaardigheid,"Mondelinge presentatie van 5 minuten over een zelfgekozen onderwerp, beoordeeld op inhoud en uitspraak.",,,,,,,,
,,,school-wide,,Ouderavond,"Rapportbespreking. Aanmelden via Magister, gesprekken van 10 minuten per mentor.",2026-10-07,,1,1,1,1,1,1
41,WI,3,proefwerk,2,Proefwerk functies,"Lineaire, kwadratische en exponentiële functies: formules en grafieken.",,,,,,,,
41,EN,1,proefwerk,2,Proefwerk unit 1-2,"Vocabulary, grammar en een korte leesopdracht uit unit 1 en 2.",,,,,,,,
41,NA,5,plan,,Elektromagnetisme,"Coulombwet, elektrisch veld en elektrische potentiaal.",,,,,,,,
,,,school-wide,,Herfstvakantie,,2026-10-12,2026-10-18,1,1,1,1,1,1
43,NL,3,so,1,SO argumentatief schrijven,"Beoordeling op structuur, taalgebruik en argumentkwaliteit.",,,,,,,,
