cal_year,cal_week_number,subject_abbreviation,year,type,weight,label,description,date,end_date,year_1,year_2,year_3,year_4,year_5,year_6
,,,,school-wide,,Mentoren ontvangen hun klas,"Mentoren van de 4e en 5e klas ontvangen hun klassen. Aanvang 12:00.",2026-08-18,,,,,1,1,
,,,,school-wide,,Begin van de lessen,"Eerste lesdag van cursus 2026-2027.",2026-08-19,,1,1,1,1,1,1
,,,,school-wide,,Inauguratie nieuwe leerlingen,"Inauguratie van de nieuwe leerlingen, 2e t/m 6e klas. Aanvang 14:30.",2026-08-21,,,1,1,1,1,1
,,,,school-wide,,Informatieavond 4e klas,"Informatieavond voor ouders en leerlingen van de 4e klas. Aanvang 20:00.",2026-08-26,,,,,1,,
,,,,school-wide,,PWS-middag,"Start profielwerkstuk. Aanvang 15:20.",2026-08-27,,,,,,1,1
,,,,school-wide,,Introductiemiddag schoolclubs,"Kennismaking met de schoolclubs. Aanvang 14:30.",2026-08-28,,1,1,1,1,1,1
,,,,school-wide,,Schoolfotograaf,"De schoolfotograaf is op school voor portret- en klassenfoto's.",2026-09-01,2026-09-02,1,1,1,1,1,1
,,,,school-wide,,Schoolfotograaf,"Extra dag schoolfotograaf.",2026-09-07,,1,1,1,1,1,1
,,,,school-wide,,Cleanup day,"Cleanup day voor de 1e en 5e klassen. Aanvang 08:30.",2026-09-18,,1,,,,1,
,,,,school-wide,,1e informatieavond Romereis,"Eerste informatieavond over de Romereis van de 5e klas. Aanvang 20:00.",2026-09-22,,,,,,1,
,,,,school-wide,,2e informatieavond Romereis,"Tweede informatieavond over de Romereis van de 5e klas. Aanvang 20:00.",2026-09-23,,,,,,1,
,,,,school-wide,,3e informatieavond Romereis,"Derde informatieavond over de Romereis van de 5e klas. Aanvang 20:00.",2026-09-24,,,,,,1,
,,,,school-wide,,Sportinterlyceale,"Sportinterlyceale op het Baarnsch Lyceum.",2026-09-25,,1,1,1,1,1,1
,,,,school-wide,,Informatieavond talenreizen 4e klas,"Informatieavond over de talenreizen van de 4e klas. Aanvang 20:00.",2026-09-28,,,,,1,,
,,,,school-wide,,Ontruimingsoefening,"Ontruimingsoefening voor de hele school. Aanvang 10:30.",2026-09-29,,1,1,1,1,1,1
,,,,school-wide,,Vertrek Romereis,"Vertrek van de Romereis, 5e klas.",2026-10-02,,,,,,1,
,,,,school-wide,,Activiteitenweek,"Activiteitenweek: geen gewone lessen.",2026-10-05,2026-10-09,1,1,1,1,1,1
,,,,school-wide,,Herfstvakantie,"Herfstvakantie.",2026-10-10,2026-10-18,1,1,1,1,1,1
,,,,school-wide,,LOB-project V5,"Loopbaanoriëntatie-project voor de 5e klas.",2026-10-21,,,,,,1,
,,,,school-wide,,CKV theater V4,"CKV-theateravond voor de 4e klas. Aanvang 19:30.",2026-10-21,,,,,1,,
,,,,school-wide,,Informatieavond 5e klas,"Informatieavond voor ouders en leerlingen van de 5e klas. Aanvang 20:00.",2026-10-21,,,,,,1,
,,,,school-wide,,Sportdag 5e klas,"Sportdag voor de 5e klas.",2026-10-29,,,,,,1,
,,,,school-wide,,Proefwerkweek / SE-periode,"Proefwerkweek 1e t/m 4e klas en SE-periode 5e en 6e klas. Niet voor alle klassen zijn alle dagen nodig om toetsen in te roosteren.",2026-11-16,2026-11-25,1,1,1,1,1,1
,,,,school-wide,,Verkort rooster,"Verkort rooster in verband met de leerlingbespreking.",2026-11-25,2026-11-27,1,1,1,1,1,1
,,,,school-wide,,Opgeven herkansing SE 5e klas,"Kandidaten geven zich op voor de herkansingen SE van de 5e klas. Uiterlijk 12:00.",2026-12-09,,,,,,1,
,,,,school-wide,,Open Podium,"Open Podium in de aula. Aanvang 20:00.",2026-12-08,,1,1,1,1,1,1
,,,,school-wide,,Paarse Vrijdag,"Paarse Vrijdag.",2026-12-11,,1,1,1,1,1,1
,,,,school-wide,,Muziekavond,"Muziekavond. Aanvang 19:00.",2026-12-11,,1,1,1,1,1,1
,,,,school-wide,,Debatproject 4e klas,"Debatproject voor de 4e klas.",2026-12-15,,,,,1,,
,,,,school-wide,,Uitreiken 1e rapport,"Het eerste rapport wordt uitgereikt.",2026-12-15,,1,1,1,1,1,
,,,,school-wide,,Herkansingen SE 5e klas,"Herkansingen schoolexamen 5e klas. Aanvang 08:30.",2026-12-15,,,,,,1,
,,,,school-wide,,Kerstlunch,"Kerstlunch en afscheid van vertrekkende collega's. Aanvang 13:05.",2026-12-18,,1,1,1,1,1,1
,,,,school-wide,,Kerstvakantie,"Kerstvakantie.",2026-12-19,2027-01-03,1,1,1,1,1,1
,,,,school-wide,,1e ouderavond (driehoeksgesprekken),"Driehoeksgesprekken met ouders, leerling en mentor. Aanvang 17:00.",2027-01-11,2027-01-13,1,1,1,1,1,1
,,,,school-wide,,Start 2e periode,"Begin van de tweede periode.",2027-01-18,,1,1,1,1,1,1
,,,,school-wide,,Project Nederlands V5,"Projectdag Nederlands voor de 5e klas. Aanvang 10:10.",2027-01-19,,,,,,1,
,,,,school-wide,,Eerste ronde Wiskunde Olympiade,"Eerste ronde van de Wiskunde Olympiade voor leerjaar 4 en 5. Aanvang 08:30.",2027-01-21,,,,,1,1,
,,,,school-wide,,Geen les,"Lesvrije dag in verband met de voorbereiding van de informatiemiddag en open dag.",2027-01-29,,1,1,1,1,1,1
,,,,school-wide,,Lustrumvoorstellingen,"Lustrumvoorstellingen.",2027-02-09,2027-02-12,1,1,1,1,1,1
,,,,school-wide,,Dies en OLO-dag,"Dies, OLO-dag en de onthulling van de naamplaten.",2027-02-13,,1,1,1,1,1,1
,,,,school-wide,,Lustrumweek,"Lustrumweek.",2027-02-15,2027-02-18,1,1,1,1,1,1
,,,,school-wide,,Voorjaarsvakantie,"Voorjaarsvakantie.",2027-02-19,2027-02-28,1,1,1,1,1,1
,,,,school-wide,,Proefwerkweek 1e t/m 4e klas,"Proefwerkweek voor de 1e t/m 4e klas.",2027-03-15,2027-03-23,1,1,1,1,,
,,,,school-wide,,SE-periode 5e klas,"Schoolexamenperiode voor de 5e klas.",2027-03-15,2027-03-22,,,,,1,
,,,,school-wide,,Try-out Artistieke Interlyceale,"Try-out voor de Artistieke Interlyceale. Aanvang 17:00.",2027-03-23,,1,1,1,1,1,1
,,,,school-wide,,Verkort rooster,"Verkort rooster in verband met de leerlingbespreking.",2027-03-24,2027-03-26,1,1,1,1,1,1
,,,,school-wide,,LAN party,"LAN party.",2027-03-26,,1,1,1,1,1,1
,,,,school-wide,,Paasweekend,"Paasweekend.",2027-03-26,2027-03-29,1,1,1,1,1,1
,,,,school-wide,,Opgeven herkansing SE 5e klas,"Kandidaten geven zich op voor de herkansingen SE van de 5e klas. Uiterlijk 12:00.",2027-04-05,,,,,,1,
,,,,school-wide,,Artistieke Interlyceale,"Artistieke Interlyceale.",2027-04-09,,1,1,1,1,1,1
,,,,school-wide,,Herkansingen SE 5e klas,"Herkansingen schoolexamen 5e klas. Aanvang 08:30.",2027-04-12,,,,,,1,
,,,,school-wide,,Uitreiken 2e rapport,"Het tweede rapport wordt uitgereikt.",2027-04-13,,1,1,1,1,1,
,,,,school-wide,,Driehoeksgesprekken 2e rapport,"Driehoeksgesprekken naar aanleiding van het tweede rapport. Aanvang 17:00.",2027-04-19,2027-04-20,1,1,1,1,1,
,,,,school-wide,,Sportdag 4e klas,"Sportdag voor de 4e klas.",2027-04-20,,,,,1,,
,,,,school-wide,,Examenstunt,"Examenstunt (onder voorbehoud).",2027-04-21,,1,1,1,1,1,1
,,,,school-wide,,Jaarlijkse herdenking,"Jaarlijkse herdenking in de aula. Aanvang 13:00.",2027-04-23,,1,1,1,1,1,1
,,,,school-wide,,Meivakantie,"Meivakantie, inclusief Bevrijdingsdag en Hemelvaart.",2027-04-24,2027-05-09,1,1,1,1,1,1
,,,,school-wide,,Centraal Examen 1e tijdvak,"Centraal Examen eerste tijdvak. Let op afwijkende roosters en lesuitval.",2027-05-14,2027-06-01,,,,1,1,1
,,,,school-wide,,2e Pinksterdag,"Tweede Pinksterdag, vrije dag.",2027-05-17,,1,1,1,1,1,1
,,,,school-wide,,Lustrum Theaterklas 25 jaar,"Voorstellingen rond 25 jaar Theaterklas.",2027-06-07,2027-06-09,1,1,1,1,1,1
,,,,school-wide,,Pop en Poëzie,"Pop en Poëzie. Aanvang 19:00.",2027-06-11,,1,1,1,1,1,1
,,,,school-wide,,Tentoonstelling SE handvaardigheid en tekenen 5e klas,"Tentoonstelling van het schoolexamenwerk handvaardigheid en tekenen van de 5e klas, in de aula.",2027-06-14,2027-06-18,,,,,1,
,,,,school-wide,,Studiemiddag: lesvrij vanaf 12:15,"Studiemiddag voor docenten; vanaf 12:15 geen les.",2027-06-16,,1,1,1,1,1,
,,,,school-wide,,Proefwerkweek / SE-week,"Proefwerkweek 1e t/m 4e klas en SE-week 4e en 5e klas.",2027-06-17,2027-06-25,1,1,1,1,1,
,,,,school-wide,,Inhaalproefwerken 4e klas,"Inhaalproefwerken voor de 4e klas.",2027-06-25,,,,,1,,
,,,,school-wide,,Excursies 4e klas,"Excursies voor de 4e klas.",2027-06-28,2027-06-30,,,,1,,
,,,,school-wide,,Bekendmaking cijfers 5e klas,"Bekendmaking van de SE- en rapportcijfers aan de 5e klas.",2027-06-28,,,,,,1,
,,,,school-wide,,Opgeven herkansing SE 4e klas,"Kandidaten geven zich op voor de herkansingen SE van de 4e klas. Aanvang 08:00.",2027-06-28,,,,,1,,
,,,,school-wide,,Opgeven herkansing SE 5e klas,"Kandidaten geven zich op voor de herkansingen SE van de 5e klas. Aanvang 15:00.",2027-06-29,,,,,,1,
,,,,school-wide,,Herkansing SE 5e klas,"Herkansing schoolexamen 5e klas. Aanvang 08:30.",2027-07-01,,,,,,1,
,,,,school-wide,,Teruggave proefwerken 4e klas,"Docenten zijn op school voor de teruggave van de proefwerken van de 4e klas. Vanaf 12:00.",2027-07-01,,,,,1,,
,,,,school-wide,,Herkansingen SE 4e klas,"Herkansingen schoolexamen 4e klas. Aanvang 08:30.",2027-07-02,,,,,1,,
,,,,school-wide,,Inhaalproefwerken 4e klas,"Inhaalproefwerken voor de 4e klas. Aanvang 11:25.",2027-07-02,,,,,1,,
,,,,school-wide,,Teruggave herkansingscijfers SE 4e en 5e klas,"Docenten zijn op school voor de teruggave van de herkansingscijfers SE. Vanaf 11:00.",2027-07-05,,,,,1,1,
,,,,school-wide,,Eindfeest,"Eindfeest.",2027-07-05,,1,1,1,1,1,1
,,,,school-wide,,Personeelsdag,"Personeelsdag: geen les.",2027-07-07,,1,1,1,1,1,1
,,,,school-wide,,Bevordering,"Bekendmaking van de bevordering.",2027-07-08,,1,1,1,1,1,
,,,,school-wide,,Revisiespreekuur,"Revisiespreekuur. Aanvang 09:30.",2027-07-09,,1,1,1,1,1,
,,,,school-wide,,Zomervakantie,"Zomervakantie.",2027-07-10,2027-08-22,1,1,1,1,1,1
